Fecha,RSSID,VBat,VIn,humedad,irradiancia,precipitacion,presion,temperatura,Name
2022-03-05,-91.36301020408163,4.382913828231293,5.19147156292517,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-06,-89.89813021945375,4.390077542848854,5.194391001616484,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-07,-89.20640432780613,4.39499868095556,5.19410388618686,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-08,-90.0708922250589,4.38736154649363,5.188403046842047,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-09,-89.76238275505885,4.3869958084474,5.194570425505458,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-10,-89.15468674843675,4.382727157106783,5.18950527020202,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-11,-90.44297646797648,4.386349638139639,5.190948215673216,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-12,,,,,,,,,E2_00009
2022-03-13,,,,,,,,,E2_00009
2022-03-14,,,,,,,,,E2_00009
2022-03-15,,,,,,,,,E2_00009
2022-03-16,-74.92743780354843,4.392668070155616,5.198021197859053,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-17,-71.61890179557115,4.397804467100137,5.200790941725111,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-18,-78.5896882914475,4.3980719461629745,5.201055543573667,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-19,,,,,,,,,E2_00009
2022-03-20,,,,,,,,,E2_00009
2022-03-21,,,,,,,,,E2_00009
2022-03-22,,,,,,,,,E2_00009
2022-03-23,-88.2276643900464,4.385564372781732,5.197085675894429,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-24,-83.67809696267322,4.129433663817664,3.7194421028345164,0.0,0.0025058338983050847,0.0,0.0,0.0,E2_00009
2022-03-25,-77.87026520570694,4.375350498281389,5.186897418437835,0.0,1.1624058773862624,0.0,0.0,0.0,E2_00009
2022-03-26,-90.19149630786005,4.39965432469769,5.203951329653583,0.0,0.0387231962452919,0.0,0.0,0.0,E2_00009
2022-03-27,-90.35364512305995,4.400620935791284,5.203328539848367,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-28,-90.72536122475485,4.400000226678681,5.203150612093316,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-29,-90.8182812022148,4.396332786729201,5.200560357539797,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-03-30,-86.91106136217182,4.394922172810922,5.199482465994067,0.0,0.635287503222907,0.0,0.0,0.0,E2_00009
2022-03-31,-83.25553850899409,4.3994281420303265,5.202903880414312,0.0,0.9645256427495293,0.0,0.0,0.0,E2_00009
2022-04-01,-84.77435462316419,4.388860955068853,5.1966093720990925,0.0,0.11258278036723164,0.0,0.0,0.0,E2_00009
2022-04-02,-89.32657031300734,4.366657795425026,5.180763443494707,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-03,-88.50424905838042,4.365079439030131,5.179506622645951,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-04,-89.58969007727774,4.366681165944217,5.1802566971800115,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-05,-90.31106484187285,4.3653353234219745,5.178632376379959,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-06,-90.84205122309477,4.366664679933058,5.180151731415731,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-07,-86.97811484164767,4.371053246271505,5.18049915954728,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-08,-82.57294942711609,4.374951517269768,5.1794639440744445,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-09,-82.56680303700428,4.374935919946926,5.182887616393926,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-10,-82.24782711841536,4.37726287551322,5.182088558505609,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-11,-82.90955248802993,4.376092135729698,5.1807986657228176,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-12,-83.52467814599663,4.375486356691835,5.179094369114291,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-13,-83.45740438410571,4.375985763771253,5.179727576567729,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-14,-83.18690476190476,4.375512443043884,5.179978207749766,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-15,-83.17424771222193,4.374541677007898,5.180175872455886,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-16,-83.30059711243922,4.375087801605153,5.180034378455041,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-17,-83.2011754819604,4.378573363270096,5.1813181571497235,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-18,-83.08390555168049,4.379158860112323,5.182199237107876,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-19,-82.95181514392041,4.3788130607009945,5.182894133971292,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-20,-82.26978931562265,4.377517134553718,5.180912936734561,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-21,-81.9169299035113,4.377247882241371,5.181197274496637,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-22,-82.05847921670083,4.374752441029926,5.181606036858601,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-23,-81.6883945386064,4.370566724811676,5.183526518832392,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-24,-81.91487758945387,4.369414334039548,5.183008734934087,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-25,-81.92384651600754,4.369368241760829,5.182462080508475,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-26,-82.10161008831743,4.368724122394311,5.181083557260211,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-27,-82.38542717657674,4.367707745556359,5.181681270690851,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-28,-82.72562939835464,4.367602830297849,5.180711123054812,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-29,-82.92132176097026,4.371096383873754,5.182166321019781,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-04-30,-83.05954355958225,4.376034751050483,5.178101636104646,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-05-01,-82.1713171088171,4.376189462720921,5.181304419531086,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-05-02,-82.77239385950459,4.374631587041755,5.18317608608798,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-05-03,-83.28617749823789,4.37520854062952,5.181755414777355,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-05-04,-83.58941752307403,4.375285690530153,5.183403860799327,0.0,0.0,0.0,0.0,0.0,E2_00009
2022-05-05,-86.61627421650306,4.374940810342721,5.182109887686938,0.0,4.201337295410627,0.0,0.0,0.0,E2_00009
